"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-","GP","Pt"
"*06sn9*","Kashawn Aitcheson","NYI","D","936","TPA","Reserve","19","","0","0","19%","-6%","0","0"
"*06lv1*","Jett Luchanko","PHI","C","2468","ADB","Reserve","19","","0","0","19%","-6%","4","0"
"*06ay2*","Luca Cagnoni","SJS","D","1265","MC","Active","21","@WPG Thu 6:00PM","0","0","19%","-4%","2","0"
"*06nke*","Jackson Smith","CBJ","D","3402","PA","Active","18","","0","0","18%","-5%","0","0"
"*06h8h*","Trevor Connelly","VGK","LW","1390","MC","Reserve","20","","0","0","18%","-5%","0","0"
"*06jhe*","Cole Reschny","CGY","C","3146","PA","Reserve","19","LAK Thu 7:00PM","0","0","17%","-5%","0","0"
"*06axs*","Tanner Molendyk","NSH","D","2733","PSK","Reserve","21","ANA Thu 6:00PM","0","0","16%","-5%","0","0"
"*06bdr*","Roman Kantserov","CHI","RW","2140","MC","Reserve","21","","0","0","16%","-5%","0","0"
"*05yn1*","Jagger Firkus","SEA","C","1664","PSK","Reserve","21","@COL Thu 8:00PM","0","0","15%","-5%","0","0"
"*06lkx*","Terik Parascak","WSH","RW","2923","GG","Reserve","19","","0","0","14%","-5%","0","0"
"*06snc*","Jack Nesbitt","PHI","C","2827","PSK","Reserve","19","","0","0","14%","-5%","0","0"
"*0644a*","Colby Barlow","WPG","RW","1031","KR","Reserve","21","SJS Thu 6:00PM","0","0","13%","-4%","0","0"
"*06snd*","Lynden Lakovic","WSH","LW","2343","KR","Reserve","19","","0","0","13%","-4%","0","0"
"*06rut*","Cameron Reid","NSH","D","3140","KR","Reserve","19","ANA Thu 6:00PM","0","0","13%","-4%","0","0"
"*06qfa*","Bryce Pickford","MTL","D","3014","LHB","Reserve","20","","0","0","12%","-4%","0","0"
"*06loc*","Yegor Surin","NSH","RW","3506","PA","Reserve","19","ANA Thu 6:00PM","0","0","12%","-4%","0","0"
"*05ram*","Riley Heidt","MIN","C","1938","GG","Reserve","21","","0","0","11%","-4%","0","0"
"*0616n*","Owen Pickering","PIT","D","3013","KR","Reserve","22","","0","0","10%","-4%","4","0"
"*06lop*","Ivan Ryabkin","CAR","C","3225","MC","Reserve","18","","0","0","10%","-4%","0","0"
"*06sqm*","Ryker Lee","NSH","RW","2386","KR","Reserve","19","ANA Thu 6:00PM","0","0","10%","-4%","0","0"
